No.,nameen,ROCKTYPEid,slope-deg,IDW-5d,ls-value,latitude,longitude,STN0001,STN0036,STN0051,STN0141,STN0249,STN0255,STN0523,ls_prob
5042317,Grass,2,38.27968216,48.58134076187787,0,19.9298861988099,99.0553984655108,14268.26299,29846.30462,14558.25264,18521.81191,21086.44804,6757.808557,27145.16096,0.7130228
5042320,Grass,2,38.27968216,48.57005413143002,0,19.9298861801851,99.0554581875327,14262.21229,29841.14882,14556.63389,18515.9354,21081.00605,6758.820762,27139.42472,0.7130228
5045110,Grass,2,37.98616791,48.6672362619681,0,19.9297846021923,99.055183430939,14292.88239,29871.23279,14553.23535,18546.8113,21111.58102,6743.098737,27161.34107,0.70755565
5045113,Grass,2,37.98616791,48.656013723032544,0,19.9297845836399,99.055243152923,14286.83226,29866.07658,14551.60637,18540.93512,21106.13884,6744.092281,27155.60307,0.70755565
5045114,Grass,2,39.20904922,48.647020163492854,0,19.9297845687835,99.0552909305101,14281.99229,29861.95191,14550.30499,18536.23436,21101.78543,6744.891185,27151.01282,0.7303324
5045116,Grass,2,38.27968216,48.606548512231505,0,19.9298297190877,99.0553984458275,14269.83961,29849.84191,14552.21374,18523.948,21089.52706,6751.638148,27142.674,0.7130228
5045117,Grass,2,39.20904922,48.63575881326744,0,19.929784550195,99.0553506524939,14275.94247,29856.79644,14548.68053,18530.35862,21096.34406,6745.894896,27145.27523,0.730332
5045118,Grass,2,39.48073578,48.62673423888566,0,19.9297845353097,99.0553984300809,14271.10275,29852.67238,14547.38276,18525.65821,21091.99129,6746.70193,27140.68531,0.73476315
5045119,Grass,2,38.27968216,48.595254418667025,0,19.929829700463,99.0554581678282,14263.78957,29844.68671,14550.59432,18518.07217,21084.08587,6752.651278,27136.93724,0.7130228
5045120,Grass,2,39.48073578,48.61543416517503,0,19.9297845166851,99.0554581520646,14265.05325,29847.51767,14545.7628,18519.78292,21086.55074,6747.715801,27134.94812,0.73461896
5045179,Grass,2,39.33084869,48.29754212382548,0,19.9297839985618,99.0570945343914,14099.3659,29706.44271,14502.35443,18358.89691,20937.65592,6777.681425,26977.83829,0.7183067
5045183,Grass,2,39.33084869,48.2856420495937,0,19.9297839793672,99.0571542563732,14093.32146,29701.30001,14500.80601,18353.02873,20932.2283,6778.854448,26972.10762,0.714985
5047918,Grass,2,37.98616791,48.69251953467981,0,19.9297281224693,99.0551834113322,14294.46121,29874.76948,14547.19921,18548.94831,21114.65971,6736.925301,27158.85819,0.70755565
5047920,Grass,2,37.83504105,48.69252577497934,0,19.929682905282,99.0552908951492,14284.83818,29868.32056,14539.43788,18540.08451,21107.33066,6733.782063,27146.54281,0.70474064
5047921,Grass,2,37.98616791,48.6812896374181,0,19.929728103917,99.055243133295,14288.41175,29869.61388,14545.56956,18543.07281,21109.21833,6737.919756,27153.11966,0.70755565
5047922,Grass,2,39.20904922,48.67229016274689,0,19.9297280890606,99.0552909108651,14283.57231,29865.48969,14544.26764,18538.37259,21104.86555,6738.719391,27148.529,0.730333
5047923,Grass,2,37.83504105,48.68125104399624,0,19.9296828866936,99.0553506170948,14278.78957,29863.1662,14537.8122,18534.20999,21101.89072,6734.78743,27140.80427,0.70474064
5047924,Grass,2,37.83504105,48.672215710423,0,19.9296828718084,99.0553983946513,14273.95081,29859.04301,14536.51346,18529.51056,21097.53909,6735.595795,27136.2136,0.70474064
5047925,Grass,2,39.20904922,48.661021389395174,0,19.9297280704722,99.0553506328277,14277.52317,29860.33484,14542.6425,18532.49753,21099.42498,6739.724022,27142.79087,0.7303328
5047926,Grass,2,39.48073578,48.65199084436322,0,19.9297280555869,99.0553984103978,14272.68398,29856.21126,14541.34419,18527.79766,21095.07284,6740.531794,27138.20054,0.734996
5047927,Grass,2,37.83504105,48.66090213319946,0,19.9296828531839,99.0554581165968,14267.90252,29853.88941,14534.89229,18523.63649,21092.09997,6736.611337,27130.47546,0.70474064
5047928,Grass,2,38.11327362,48.65183574626598,0,19.9296828382698,99.0555058941531,14263.06401,29849.76682,14533.59716,18518.93741,21087.74899,6737.427839,27125.88512,0.7099232
5047929,Grass,2,39.48073578,48.64068327560446,0,19.9297280369623,99.0554581323602,14266.63515,29851.05717,14539.72356,18521.92305,21089.63308,6741.546593,27132.46283,0.7349049
5047931,Grass,2,38.11327362,48.6405402129933,0,19.9296828197025,99.0555653174888,14257.04628,29844.63973,14531.98859,18513.09316,21082.33787,6738.448406,27120.17608,0.7099232
5047933,Grass,2,38.11327362,48.631386035821336,0,19.9296828046661,99.0556133936548,14252.17779,29840.49199,14530.689,18508.36507,21077.96036,6739.27818,27115.55738,0.7099232
